Year;CO2_Gt;Temp_Anomaly
1976;17,862492;-0,1
1977;18,358039;0,18
1978;19,024742;0,07
1979;19,50859;0,16
1980;19,409793;0,26
1981;18,879756;0,32
1982;18,729742;0,14
1983;18,901776;0,31
1984;19,45725;0,16
1985;20,144863;0,12
1986;20,438045;0,18
1987;21,10619;0,32
1988;21,918757;0,39
1989;22,200214;0,27
1990;22,732145;0,45
1991;23,205591;0,4
1992;22,520424;0,22
1993;22,749872;0,23
1994;22,974597;0,31
1995;23,51664;0,44
1996;24,233476;0,33
1997;24,380322;0,46
1998;24,295713;0,61
1999;24,837771;0,38
2000;25,511483;0,39
2001;25,692994;0,53
2002;26,265332;0,63
2003;27,652692;0,61
2004;28,610023;0,53
2005;29,598951;0,68
2006;30,594152;0,64
2007;31,499256;0,66
2008;32,04966;0,54
2009;31,513014;0,65
2010;33,31767;0,72
2011;34,47999;0,61
2012;34,954736;0,64
2013;35,27582;0,67
2014;35,465695;0,75
2015;35,403526;0,89
2016;35,39283;1,01
2017;35,97461;0,91
2018;36,734005;0,85
2019;37,08657;0,98
2020;35,15823;1,01
2021;36,866863;0,85
2022;37,527773;0,89
2023;38,09404;1,17
2024;38,59858;1,28
