Country Name;Country Code;Tipping_Point_Year;Fertility_At_Tipping_Point;Fertility_Current;Fertility_Current_Year;CO2_At_Tipping_Point;CO2_Current;CO2_Current_Year
Austria;AUT;1950;2,089;1,317;2023;3,02;6,18;2024,0
Vatican;VAT;1950;1,0;1,0;2023;;;
Luxembourg;LUX;1950;1,96;1,396;2023;25,04;10,46;2024,0
Latvia;LVA;1950;2,075;1,338;2023;2,361;3,452;2024,0
Jersey;JEY;1951;2,091;1,371;2023;;;
Isle of Man;IMN;1954;2,062;1,548;2023;;;
Guernsey;GGY;1954;2,088;1,362;2023;;;
Estonia;EST;1956;1,973;1,35;2023;9,703;6,105;2024,0
Japan;JPN;1957;2,036;1,208;2023;2,001;7,772;2024,0
Czechia;CZE;1959;2,096;1,448;2023;9,768;7,044;2024,0
Hungary;HUN;1959;2,079;1,486;2023;4,218;4,136;2024,0
Romania;ROU;1962;2,023;1,713;2023;3,447;3,605;2024,0
Serbia;SRB;1963;2,084;1,5;2023;2,704;6,238;2024,0
Ukraine;UKR;1964;2,014;0,977;2023;7,703;3,764;2024,0
Bulgaria;BGR;1965;2,085;1,749;2023;5,641;4,679;2024,0
Russia;RUS;1967;2,023;1,449;2023;9,973;12,295;2024,0
Malta;MLT;1968;2,08;1,098;2023;1,971;3,204;2024,0
Sweden;SWE;1968;2,074;1,43;2023;9,809;3,592;2024,0
Croatia;HRV;1968;2,027;1,468;2023;1,973;4,765;2024,0
Finland;FIN;1969;1,93;1,28;2023;8,196;5,301;2024,0
Denmark;DNK;1969;1,998;1,511;2023;12,133;4,746;2024,0
Liechtenstein;LIE;1970;2,093;1,537;2023;5,243;3,299;2024,0
Saint Barthelemy;BLM;1970;2,089;0,801;2023;;;
Macao;MAC;1970;2,083;0,662;2023;0,797;1,467;2024,0
Germany;DEU;1970;2,024;1,441;2023;13,117;6,769;2024,0
Switzerland;CHE;1971;2,035;1,433;2023;6,742;3,595;2024,0
United States;USA;1972;2,057;1,624;2023;21,486;14,197;2024,0
Belgium;BEL;1972;2,091;1,379;2023;13,475;7,28;2024,0
Canada;CAN;1972;1,937;1,349;2023;17,13;13,42;2024,0
Netherlands;NLD;1973;1,909;1,43;2023;12,284;6,297;2024,0
United Kingdom;GBR;1973;2,036;1,56;2023;11,739;4,526;2024,0
Bermuda;BMU;1974;2,023;1,401;2023;8,353;8,506;2024,0
Norway;NOR;1975;1,986;1,405;2023;7,636;6,668;2024,0
France;FRA;1975;1,935;1,639;2023;9,214;3,969;2024,0
Singapore;SGP;1975;2,08;0,943;2023;10,519;9,245;2024,0
San Marino;SMR;1975;2,053;1,149;2023;;;
Italy;ITA;1976;2,056;1,198;2023;6,596;5,088;2024,0
Australia;AUS;1976;2,063;1,638;2023;12,088;14,477;2024,0
Belarus;BLR;1976;2,09;1,208;2023;9,258;6,163;2024,0
Andorra;AND;1977;2,029;1,082;2023;;5,182;2024,0
Cyprus;CYP;1977;2,089;1,389;2023;4,048;5,374;2024,0
Saint Pierre and Miquelon;SPM;1977;2,074;1,267;2023;5,982;9,788;2024,0
Bosnia and Herzegovina;BIH;1978;2,081;1,486;2023;3,789;6,139;2024,0
Lithuania;LTU;1978;2,081;1,201;2023;10,332;4,387;2024,0
New Zealand;NZL;1978;2,077;1,667;2023;5,736;6,229;2024,0
Barbados;BRB;1978;1,839;1,708;2023;2,505;4,833;2024,0
Cuba;CUB;1978;1,884;1,439;2023;3,157;2,226;2024,0
Hong Kong;HKG;1980;2,061;0,717;2023;3,345;4,494;2024,0
Slovenia;SVN;1981;1,96;1,576;2023;7,692;6,018;2024,0
Spain;ESP;1981;2,04;1,213;2023;5,451;4,599;2024,0
Antigua and Barbuda;ATG;1982;2,087;1,578;2023;4,523;7,092;2024,0
Portugal;PRT;1982;2,07;1,508;2023;2,933;3,409;2024,0
Falkland Islands;FLK;1982;2,055;1,685;2023;;;
Greece;GRC;1982;2,082;1,334;2023;5,236;5,311;2024,0
Cayman Islands;CYM;1982;2,008;1,531;2023;;;
Greenland;GRL;1983;2,086;1,95;2023;6,977;11,08;2024,0
Taiwan;TWN;1984;2,046;0,87;2023;4,02;11,301;2024,0
Iceland;ISL;1984;2,083;1,54;2023;7,556;9,667;2024,0
South Korea;KOR;1984;1,832;0,72;2023;3,958;11,286;2024,0
British Virgin Islands;VGB;1984;1,987;1,045;2023;3,138;4,874;2024,0
Martinique;MTQ;1985;2,079;2,009;2023;;;
Mauritius;MUS;1985;2,054;1,241;2023;0,69;3,677;2024,0
Montenegro;MNE;1986;2,091;1,803;2023;3,664;3,722;2024,0
Monaco;MCO;1987;2,062;2,11;2023;;;
Sint Maarten (Dutch part);SXM;1987;2,031;1,447;2023;11,748;16,546;2024,0
Slovakia;SVK;1989;2,067;1,56;2023;10,528;5,283;2024,0
Northern Mariana Islands;MNP;1989;2,015;2,348;2023;;;
Ireland;IRL;1989;2,081;1,598;2023;8,562;6,339;2024,0
Poland;POL;1989;2,098;1,299;2023;11,13;7,08;2024,0
Thailand;THA;1990;2,065;1,212;2023;1,581;3,736;2024,0
Saint Helena;SHN;1991;2,082;1,636;2023;1,11;2,165;2024,0
China;CHN;1991;1,934;0,999;2023;2,237;8,658;2024,0
Anguilla;AIA;1992;2,025;1,364;2023;5,29;10,127;2024,0
Georgia;GEO;1992;2,045;1,81;2023;2,668;3,095;2024,0
Montserrat;MSR;1994;2,084;1,444;2023;3,719;6,022;2024,0
Armenia;ARM;1994;2,084;1,714;2023;0,798;2,499;2024,0
Moldova;MDA;1994;1,993;1,731;2023;2,802;1,755;2024,0
Trinidad and Tobago;TTO;1994;2,064;1,532;2023;11,908;22,932;2024,0
North Macedonia;MKD;1996;2,059;1,465;2023;4,679;3,631;2024,0
Kazakhstan;KAZ;1996;2,084;3,012;2023;9,425;13,937;2024,0
Azerbaijan;AZE;1996;1,977;1,67;2023;3,99;3,853;2024,0
North Korea;PRK;1996;2,093;1,78;2023;2,895;2,36;2024,0
Seychelles;SYC;1998;2,037;2,133;2023;3,585;5,003;2024,0
Palau;PLW;1998;2,006;1,907;2023;10,865;12,76;2024,0
Aruba;ABW;1998;2,001;1,602;2023;9,62;8,518;2024,0
Bonaire Sint Eustatius and Saba;BES;1998;2,089;1,473;2023;0,334;4,947;2024,0
Vietnam;VNM;1998;2,098;1,913;2023;0,636;3,673;2024,0
Puerto Rico;PRI;1998;2,08;0,941;2023;;;
Tunisia;TUN;1999;2,082;1,832;2023;1,938;2,661;2024,0
Chile;CHL;1999;2,074;1,167;2023;4,009;3,983;2024,0
Iran;IRN;1999;2,089;1,695;2023;5,722;8,656;2024,0
Bahamas;BHS;2000;2,06;1,373;2023;6,257;7,65;2024,0
Saint Kitts and Nevis;KNA;2001;2,082;1,505;2023;3,841;5,542;2024,0
Brazil;BRA;2002;2,081;1,619;2023;1,948;2,278;2024,0
Albania;ALB;2002;2,002;1,348;2023;1,196;1,592;2024,0
Gibraltar;GIB;2002;1,683;1,888;2023;;;
Saint Lucia;LCA;2002;2,032;1,379;2023;2,199;2,987;2024,0
Mongolia;MNG;2003;2,019;2,685;2023;3,146;12,86;2024,0
Costa Rica;CRI;2003;2,084;1,33;2023;1,583;1,708;2024,0
Dominica;DMA;2003;2,075;1,484;2023;1,71;2,58;2024,0
